,wine name,winery,wine year,wine rating,wine price,wine region,wine country,grape information,wine acidity,wine intensity,wine sweetness,wine tannin,wine description
57,Vintage Port,Taylor's,2017,4.4,107.96,Porto,Portugal,Touriga Nacional,,,,,
58,Vintage Port,Taylor's,2016,4.5,107.96,Porto,Portugal,Touriga Nacional,,,,,
59,Vintage Port,Churchill's,2003,4.1,107.99,Porto,Portugal,Touriga Nacional,,,,,
60,Vintage Port,Churchill's,2016,4.1,109.0,Porto,Portugal,Touriga Nacional,,,,,
61,Vintage Port,W. & J. Graham's,2016,4.3,109.95,Porto,Portugal,Touriga Nacional,,,,,
62,30 Year Old Tawny Port,Ramos Pinto,N.V.,4.5,114.99,Porto,Portugal,Touriga Nacional,,,,,
63,Vintage Port,Dow's,2017,4.3,119.95,Porto,Portugal,Touriga Nacional,,,,,
64,30 Year Old Tawny Port,W. & J. Graham's,N.V.,4.5,119.95,Porto,Portugal,Touriga Nacional,,,,,
65,Vintage Port,Churchill's,2011,4.5,119.99,Porto,Portugal,Touriga Nacional,,,,,
66,30 Year Old Tawny Port,Taylor's,N.V.,4.5,119.99,Porto,Portugal,Touriga Nacional,,,,,
67,Vintage Port,Quinta do Noval,2017,4.6,119.99,Porto,Portugal,Touriga Nacional,,,,,
68,Vintage Port,Taylor's,2003,4.5,121.99,Porto,Portugal,Touriga Nacional,,,,,
69,Vintage Port,Sandeman,2016,4.2,124.95,Porto,Portugal,Touriga Nacional,,,,,
70,Vintage Port,Dow's,1994,4.5,124.99,Porto,Portugal,Touriga Nacional,,,,,
71,Vintage Port,Quinta do Noval,2015,4.3,124.99,Porto,Portugal,Touriga Nacional,,,,,
72,Vintage Porto,Ramos Pinto,1997,4.1,127.99,Porto,Portugal,Touriga Nacional,,,,,
73,Vintage Port,Dow's,2000,4.4,127.99,Porto,Portugal,Touriga Nacional,,,,,
74,Vintage Porto,Ramos Pinto,1983,4.3,129.95,Porto,Portugal,Touriga Nacional,,,,,
75,Vintage Port,Taylor's,2009,4.3,129.99,Porto,Portugal,Touriga Nacional,,,,,
